id	"Comp. Word"	Frequency	Pronunciation	"English Translation"
12506	件名	111	kenmei	term
12507	公子	111	koosi	"young nobleman"
12508	高潔	111	kooketu	purity
12509	昏睡	111	konsui	coma
12510	砂子	111	sunago	sand
12511	採否	111	saihi	"adoption or rejection"
12512	支線	111	sisen	"branch line"
12513	焼損	111	syooson	burnout
12514	城郭	111	zyookaku	fortress
12515	深緑	111	sinryoku	green
12516	船室	111	sensitu	stateroom
12517	素行	111	sokoo	behaviour
12518	叢書	111	soosyo	series
12519	早熟	111	soozyuku	precocity
12520	多弁	111	taben	talkativeness
12521	大吉	111	daikiti	"excellent luck"
12522	電荷	111	denka	charge
12523	特記	111	tokki	"special mention"
12524	内妻	111	naisai	"common-law wife"
12525	内的	111	naiteki	inner
12526	日月	111	zitugetu	"sun and moon"
12527	任免	111	ninmen	"appointments and dismissal"
12528	飯店	111	hanten	"Chinese restaurant"
12529	晩秋	111	bansyuu	"late autumn"
12530	不文	111	hubun	unwritten
12531	舞子	111	maiko	"apprentice geisha"
12532	別邸	111	bettei	villa
12533	片腕	111	kataude	"one arm"
12534	宝永	111	hooei	"Houei era"
12535	奔流	111	honryuu	torrent
12536	満室	111	mansitu	"no vacancy"
12537	名車	111	meisya	"famous or exceptional car"
12538	両家	111	ryooke	"both families"
12539	老廃	111	roohai	superannuation
12540	顆粒	111	karyuu	granule
12541	悪評	110	akuhyoo	"bad reputation"
12542	一笑	110	issyoo	laugh
12543	右岸	110	ugan	"right bank"
12544	駅頭	110	ekitoo	station
12545	遠景	110	enkei	vista
12546	巻物	110	makimono	scroll
12547	関所	110	sekisyo	barrier
12548	鬼神	110	onigami	"fierce god"
12549	曲調	110	kyokutyoo	melody
12550	軽石	110	karuisi	"pumice stone"
12551	月々	110	tukizuki	"every month"
12552	原液	110	geneki	"undiluted solution"
12553	現下	110	genka	"the present time"
12554	御幸	110	miyuki	"imperial outing or visit"
12555	才覚	110	saikaku	"ready wit"
12556	紫紺	110	sikon	"bluish purple"
12557	煮干	110	nibosi	"dried sardines"
12558	受任	110	zyunin	"being appointed"
12559	触診	110	syokusin	palpation
12560	水牛	110	suigyuu	"water buffalo"
12561	掃射	110	soosya	"sweeping with fire"
12562	代議	110	daigi	"representing others in a conference"
12563	肉腫	110	nikusyu	sarcoma
12564	白銀	110	hakugin	silver
12565	不平	110	huhei	complaint
12566	文官	110	bunkan	"civil official"
12567	米飯	110	beihan	"cooked rice"
12568	名匠	110	meisyoo	"master craftsman"
12569	名水	110	meisui	"famous mineral water"
12570	両隣	110	ryoodonari	"both sides"
12571	膠着	110	kootyaku	agglutination
12572	悪癖	109	akuheki	"bad habit"
12573	一片	109	ippen	slice
12574	家来	109	kerai	retainer
12575	奇数	109	kisuu	"odd number"
12576	金物	109	kanamono	"metal utensil"
12577	空砲	109	kuuhoo	"empty gun"
12578	広汎	109	koohan	wide
12579	行書	109	gyoosyo	"running script"
12580	山門	109	sanmon	"main temple gate"
12581	質屋	109	sitiya	pawnshop
12582	充血	109	zyuuketu	congestion
12583	上値	109	uwane	"higher price"
12584	真砂	109	masago	sand
12585	神棚	109	kamidana	"household shrine"
12586	戴冠	109	taikan	coronation
12587	瞳孔	109	dookoo	pupil
12588	内実	109	naizitu	"the facts"
12589	薄口	109	usukuti	light
12590	発色	109	hassyoku	coloring
12591	弊社	109	heisya	"our firm"
12592	名店	109	meiten	"well-known store"
12593	珈琲	109	koohii	coffee
12594	齟齬	109	sogo	inconsistency
12595	印影	108	inei	"impression of a seal"
12596	荷重	108	kazyuu	load
12597	回生	108	kaisei	resurrection
12598	覚醒	108	kakusei	"waking up"
12599	滑空	108	kakkuu	gliding
12600	技工	108	gikoo	craft
12601	虚弱	108	kyozyaku	feebleness
12602	群落	108	gunraku	"many communities"
12603	現出	108	gensyutu	appearance
12604	公称	108	koosyoo	"public name"
12605	広々	108	hirobiro	extensive
12606	講釈	108	koosyaku	lecture
12607	財力	108	zairyoku	assets
12608	治山	108	tisan	"forest conservation"
12609	書生	108	syosei	"student who performs housework in exchange for meals and-or lodging"
12610	諸氏	108	syosi	"you or them"
12611	真冬	108	mahuyu	midwinter
12612	絶好	108	zekkoo	best
12613	造花	108	zooka	"artificial flowers"
12614	探鉱	108	tankoo	"mineral exploration"
12615	知己	108	tiki	acquaintance
12616	地肌	108	zihada	texture
12617	等価	108	tooka	equivalence
12618	内国	108	naikoku	"home country"
12619	難産	108	nanzan	"difficult delivery"
12620	入漁	108	nyuugyo	"fishing in restricted waters"
12621	脳炎	108	nooen	"brain inflammation"
12622	配転	108	haiten	reshuffling
12623	半期	108	hanki	half-term
12624	番長	108	bantyoo	"leader of a group of juvenile delinquents"
12625	卑屈	108	hikutu	menial
12626	鼻歌	108	hanauta	humming
12627	武勇	108	buyuu	bravery
12628	無菌	108	mukin	sterilised
12629	無味	108	mumi	"lacking taste"
12630	落成	108	rakusei	completion
12631	腕章	108	wansyoo	"arm band"
12632	位牌	107	ihai	"Buddhist mortuary tablet"
12633	画伯	107	gahaku	"master painter"
12634	改心	107	kaisin	conversion
12635	眼底	107	gantei	"fundus of the eye"
12636	基底	107	kitei	base
12637	希代	107	kitai	uncommon
12638	漁労	107	gyoroo	fishing
12639	句作	107	kusaku	"composing haiku poems"
12640	傾城	107	keisei	beauty
12641	朱鷺	107	toki	"Japanese crested ibis"
12642	上巻	107	zyookan	"first volume"
12643	嘱望	107	syokuboo	expectation
12644	人造	107	zinzoo	man-made
12645	水星	107	suisei	Mercury
12646	水浴	107	suiyoku	"a bath"
12647	政体	107	seitai	"form of government"
12648	節気	107	sekki	"24 divisions of the solar year"
12649	禅師	107	zenzi	monk
12650	大路	107	oozi	"main street"
12651	直航	107	tyokkoo	"direct voyage"
12652	天声	107	tensei	"heavenly voice"
12653	灯籠	107	tooroo	"garden lantern"
12654	当代	107	toodai	"the present age"
12655	仏師	107	bussi	"Buddhist image maker"
12656	墳墓	107	hunbo	grave
12657	果断	106	kadan	decisive
12658	旧式	106	kyuusiki	"old type"
12659	血肉	106	ketuniku	"flesh and blood"
12660	剣客	106	kenkaku	fencer
12661	古人	106	kozin	"ancient people"
12662	御堂	106	midoo	"enshrinement hall"
12663	香味	106	koomi	"smell and taste"
12664	今様	106	imayoo	"modern style"
12665	手続	106	tetuzuki	procedure
12666	収奪	106	syuudatu	plundering
12667	商号	106	syoogoo	"firm name"
12668	松風	106	matukaze	"the wind through pine trees"
12669	神霊	106	sinrei	"divine spirit"
12670	水泡	106	suihoo	foam
12671	数珠	106	zyuzu	rosary
12672	征伐	106	seibatu	conquest
12673	整頓	106	seiton	orderliness
12674	先般	106	senpan	"some time ago"
12675	千種	106	tikusa	"great variety of flowering plants"
12676	奏楽	106	soogaku	"musical performance"
12677	孫子	106	magoko	"children and grandchildren"
12678	通史	106	tuusi	"overview of history"
12679	定理	106	teiri	theorem
12680	典礼	106	tenrei	ceremony
12681	点呼	106	tenko	roll-call
12682	陶磁	106	toozi	clay
12683	頭金	106	atamakin	"down payment"
12684	童顔	106	doogan	child-faced
12685	内憂	106	naiyuu	"internal or domestic troubles"
12686	納金	106	nookin	payment
12687	筆舌	106	hituzetu	"written and spoken words"
12688	不老	106	huroo	"perennial youth"
12689	付言	106	hugen	"saying in addition"
12690	風流	106	huuryuu	elegance
12691	別離	106	beturi	parting
12692	妙技	106	myoogi	"exquisite skill"
12693	鳴子	106	naruko	clapper
12694	涼風	106	ryoohuu	"cool breeze"
12695	劣等	106	rettoo	inferiority
12696	咀嚼	106	sosyaku	chewing
12697	洒脱	106	syadatu	unconventional
12698	逡巡	106	syunzyun	hesitation
12699	饅頭	106	manzyuu	manjuu
12700	哀感	105	aikan	pathos
12701	悪態	105	akutai	"abusive language"
12702	暗闘	105	antoo	"secret feud"
12703	閲兵	105	eppei	parade
12704	温熱	105	onnetu	"hot fever"
12705	機先	105	kisen	forestall
12706	古式	105	kosiki	"old style"
12707	古老	105	koroo	"old people"
12708	湖岸	105	kogan	lakeshore
12709	豪華	105	gooka	wonderful
12710	酒蔵	105	sakagura	"sake brewery"
12711	所存	105	syozon	opinion
12712	小金	105	kogane	"small sum of money"
12713	少雨	105	syoou	"small amount of rainfall"
12714	色香	105	iroka	"colour and scent"
12715	進取	105	sinsyu	enterprise
12716	水軍	105	suigun	navy
12717	正視	105	seisi	"looking straight ahead"
12718	赤子	105	akago	baby
12719	接地	105	setti	ground
12720	雪害	105	setugai	"snow damage"
12721	戦傷	105	sensyoo	"war wound"
12722	滞空	105	taikuu	"in the air"
12723	退室	105	taisitu	"exit from a room"
12724	大味	105	ooazi	"lack of taste"
12725	中洲	105	nakasu	sandbank
12726	猪口	105	tyoko	"small cup"
12727	党規	105	tooki	"party rules or regulations"
12728	当代	105	toodai	"the present age"
12729	能面	105	noomen	"noh mask"
12730	半月	105	hantuki	half-moon
12731	憤死	105	hunsi	"dying in a fit of anger or indignation"
12732	偏狭	105	henkyoo	narrow-mindedness
12733	魔性	105	masyoo	devilishness
12734	密談	105	mitudan	"private or confidential or secret talk"
12735	無病	105	mubyoo	"in sound health"
12736	利口	105	rikoo	clever
12737	和楽	105	waraku	"peace and harmony"
12738	恍惚	105	kookotu	ecstasy
12739	遺訓	104	ikun	"dying instructions"
12740	遺恨	104	ikon	grudge
12741	一役	104	hitoyaku	role
12742	快足	104	kaisoku	"quick of foot"
12743	学派	104	gakuha	school
12744	擬音	104	gion	"sound effect"
12745	詰問	104	kitumon	cross-examination
12746	脂身	104	aburami	"fat meat"
12747	升席	104	masuseki	"tatami ""box seat"" for four people at sumo, kabuki, etc."
12748	青酸	104	seisan	acid
12749	戦慄	104	senritu	shudder
12750	前納	104	zennoo	prepayment
12751	草書	104	soosyo	"cursive script"
12752	太刀	104	tati	"long sword"
12753	着水	104	tyakusui	"landing on the water"
12754	伝令	104	denrei	messenger
12755	同心	104	doosin	concentricity
12756	童画	104	dooga	"pictures drawn by child"
12757	特報	104	tokuhoo	"news flash"
12758	内諾	104	naidaku	"informal consent"
12759	南岸	104	nangan	"south coast"
12760	入湯	104	nyuutoo	"taking a hot bath"
12761	薄膜	104	usumaku	"thin film"
12762	麦畑	104	mugibatake	"wheat field"
12763	被曝	104	hibaku	"being exposed to radiation"
12764	平準	104	heizyun	level
12765	宝島	104	takarazima	"treasure island"
12766	民心	104	minsin	"popular sentiment"
12767	名家	104	meika	"distinguished family"
12768	木本	104	mokuhon	tree
12769	憂国	104	yuukoku	patriotism
12770	夕立	104	yuudati	"evening shower"
12771	漏洩	104	roosetu	disclosure
12772	巫女	104	huzyo	"shrine maiden"
12773	愕然	104	gakuzen	astonishment
12774	涅槃	104	nehan	Nirvana
12775	闊歩	104	kappo	striding
12776	雲海	103	unkai	"sea of clouds"
12777	下値	103	sitane	"lowest price"
12778	何処	103	doko	where
12779	可憐	103	karen	sweet
12780	華族	103	kazoku	noble
12781	観閲	103	kanetu	inspection
12782	吃音	103	kituon	stammering
12783	旧法	103	kyuuhoo	"old law"
12784	牛歩	103	gyuuho	"snail's pace"
12785	去来	103	kyorai	"coming and going"
12786	漁法	103	gyohoo	"method of fishing"
12787	公述	103	koozyutu	"speaking at a public hearing"
12788	工廠	103	koosyoo	"ammunition factory"
12789	最上	103	saizyoo	best
12790	作出	103	sakusyutu	"new creation"
12791	死神	103	sinigami	"god of death"
12792	私権	103	siken	"private right"
12793	歯肉	103	haniku	gums
12794	首領	103	syuryoo	head
12795	儒学	103	zyugaku	Confucianism
12796	十全	103	zyuuzen	perfection
12797	淑女	103	syukuzyo	lady
12798	短髪	103	tanpatu	"short hair"
12799	断種	103	dansyu	sterilization
12800	男装	103	dansoo	"disguising oneself as a man"
12801	年貢	103	nengu	"annual tribute"
12802	必携	103	hikkei	handbook
12803	扶桑	103	husoo	"land east of China"
12804	父系	103	hukei	agnate
12805	武人	103	buzin	"military man"
12806	分与	103	bunyo	distribution
12807	別個	103	bekko	another
12808	片面	103	katamen	"one side"
12809	末路	103	maturo	"last days"
12810	名器	103	meiki	"rare or famous utensil or instrument"
12811	明朗	103	meiroo	bright
12812	鳴動	103	meidoo	rumbling
12813	夜半	103	yahan	midnight
12814	幼時	103	yoozi	childhood
12815	寮費	103	ryoohi	boarding-expenses
12816	稜線	103	ryoosen	ridgeline
12817	隣席	103	rinseki	"next seat"
12818	炸裂	103	sakuretu	explosion
12819	琥珀	103	kohaku	amber
12820	矮小	103	waisyoo	diminutive
12821	応手	102	oosyu	response
12822	花魁	102	oiran	courtesan
12823	外用	102	gaiyoo	"external use"
12824	監訳	102	kanyaku	"supervisor of translation"
12825	棋力	102	kiryoku	"skill in Go or Shogi"
12826	光彩	102	koosai	brilliance
12827	公定	102	kootei	official
12828	口外	102	koogai	disclosure
12829	国難	102	kokunan	"national crisis"
12830	示威	102	zii	demonstration
12831	漆喰	102	sikkui	mortar
12832	唱和	102	syoowa	"in chorus"
12833	床屋	102	tokoya	barbershop
12834	上背	102	uwazei	stature
12835	上皮	102	zyoohi	epithelium
12836	水口	102	mizuguti	"a spout"
12837	性癖	102	seiheki	disposition
12838	成婚	102	seikon	marriage
12839	整骨	102	seikotu	bonesetting
12840	漸進	102	zensin	"gradual progress"
12841	多言	102	tagen	talkativeness
12842	対地	102	taiti	"ground to ground"
12843	男声	102	dansei	"male voice"
12844	恥辱	102	tizyoku	disgrace
12845	調律	102	tyooritu	tuning
12846	天馬	102	tenba	"flying horse"
12847	等分	102	toobun	"division into equal parts"
12848	筆名	102	hitumei	alias
12849	敏腕	102	binwan	capable
12850	兵糧	102	hyooroo	provisions
12851	便法	102	benpoo	"handy method"
12852	本葬	102	honsoo	"formal funeral"
12853	無欲	102	muyoku	unselfish
12854	刹那	102	setuna	moment
12855	毀損	102	kison	damage
12856	飄々	102	hyoohyoo	whistling
12857	闇夜	101	yamiyo	"dark night"
12858	胃酸	101	isan	"stomach acid"
12859	悔悟	101	kaigo	remorse
12860	漁夫	101	gyohu	fisherman
12861	苦肉	101	kuniku	"desperation measure"
12862	刑場	101	keizyoo	"place of execution"
12863	敬虔	101	keiken	pious
12864	激走	101	gekisoo	"flat-out run"
12865	原木	101	genboku	pulpwood
12866	言霊	101	kotodama	"soul of language"
12867	孝子	101	koosi	"filial child"
12868	甲子	101	kinoene	"first of the sexagenary cycle"
12869	豪商	101	goosyoo	"wealthy merchant"
12870	資力	101	siryoku	means
12871	次兄	101	zikei	"second elder brother"
12872	七種	101	nanakusa	"the seven spring flowers"
12873	終着	101	syuutyaku	"making one's final stop"
12874	順法	101	zyunpoo	"law observance"
12875	床板	101	tokoita	"alcove slab"
12876	食酢	101	syokuzu	vinegar
12877	新着	101	sintyaku	"new arrivals"
12878	神職	101	sinsyoku	"Shinto priest"
12879	性向	101	seikoo	inclination
12880	正犯	101	seihan	"principal offense"
12881	素肌	101	suhada	body
12882	操船	101	soosen	"handling a ship"
12883	貸主	101	kasinusi	lender
12884	停留	101	teiryuu	stop
12885	天守	101	tensyu	"castle tower"
12886	廃油	101	haiyu	"waste oil"
12887	風神	101	huuzin	"wind god"
12888	風水	101	huusui	"Chinese geomancy"
12889	分立	101	bunritu	segregation
12890	母船	101	bosen	"depot ship"
12891	麻痺	101	mahi	paralysis
12892	未了	101	miryoo	unfinished
12893	門主	101	monsyu	"head priest of temple formerly led by founder of sect"
12894	羊毛	101	yoomoo	wool
12895	論述	101	ronzyutu	statement
12896	篆書	101	tensyo	"characters used on seals"
12897	膀胱	101	bookoo	"urinary bladder"
12898	寛永	100	kanei	"Kan'ei era"
12899	救国	100	kyuukoku	"patriot devoted to the salvation of his country"
12900	極致	100	kyokuti	culmination
12901	県費	100	kenpi	"prefectural expense"
12902	工賃	100	kootin	wages
12903	豪族	100	goozoku	"powerful family"
12904	黒白	100	kurosiro	"black and white"
12905	手甲	100	tekkoo	"covering for the back of the hand and wrist"
12906	祝砲	100	syukuhoo	"salute of guns"
12907	助力	100	zyoryoku	assistance
12908	新妻	100	niizuma	"new wife"
12909	精選	100	seisen	"careful selection"
12910	漸減	100	zengen	"gradual decrease"
12911	足湯	100	asiyu	footbath
12912	超人	100	tyoozin	superman
12913	長生	100	tyoosei	longevity
12914	直角	100	tyokkaku	"right angle"
12915	点々	100	tenten	"here and there"
12916	伝奇	100	denki	romance
12917	難曲	100	nankyoku	"difficult musical piece"
12918	白玉	100	siratama	"white gem"
12919	非情	100	hizyoo	"inanimate nature"
12920	賓客	100	hinkyaku	"guest of honour"
12921	不潔	100	huketu	unclean
12922	葡萄	100	budoo	grape
12923	墓碑	100	bohi	gravestone
12924	本則	100	honsoku	rules
12925	明解	100	meikai	"clear understanding"
12926	老婆	100	rooba	"old woman"
12927	論旨	100	ronsi	"point of an argument"
12928	彷彿	100	hoohutu	"close resemblance"
12929	胃炎	99	ien	gastritis
12930	一芸	99	itigei	"an art"
12931	一代	99	itidai	generation
12932	泳者	99	eisya	"a swimmer"
12933	穏当	99	ontoo	proper
12934	割烹	99	kappoo	cooking
12935	漢和	99	kanwa	"China and Japan"
12936	貫主	99	kansyu	"chief abbot"
12937	慶事	99	keizi	"auspicious event"
12938	元老	99	genroo	"elder statesman"
12939	古文	99	kobun	"ancient writing"
12940	獄死	99	gokusi	"death in jail"
12941	骨肉	99	kotuniku	"one's own flesh and blood"
12942	作歌	99	sakka	"writing songs or poems"
12943	指向	99	sikoo	"being orientated"
12944	至難	99	sinan	"most difficult"
12945	潤色	99	zyunsyoku	"rhetorical flourishes"
12946	商圏	99	syooken	"business region"
12947	新地	99	sarati	"empty lot"
12948	水性	99	suisei	aqueous
12949	相克	99	sookoku	rivalry
12950	体毛	99	taimoo	"body hair"
12951	代価	99	daika	price
12952	店番	99	miseban	"store tending"
12953	内々	99	nainai	"family circle"
12954	乳歯	99	nyuusi	tooth
12955	入魂	99	zikkon	intimacy
12956	皮質	99	hisitu	cortex
12957	微弱	99	bizyaku	feeble
12958	保線	99	hosen	"track maintenance"
12959	面前	99	menzen	presence
12960	洋品	99	yoohin	"Western-style apparel and accessories"
12961	陸橋	99	rikkyoo	viaduct
12962	流言	99	ryuugen	"groundless rumor"
12963	流浪	99	ruroo	vagrancy
12964	例文	99	reibun	"example sentence"
12965	一群	98	itigun	group
12966	加給	98	kakyuu	"raising salaries"
12967	火中	98	katyuu	"in the fire"
12968	外面	98	gaimen	"outer surface"
12969	楽座	98	rakuza	"free markets and open guilds"
12970	寄進	98	kisin	contribution
12971	気絶	98	kizetu	faint
12972	愚弄	98	guroo	mockery
12973	軍師	98	gunsi	strategist
12974	計時	98	keizi	clocking
12975	行軍	98	koogun	march
12976	懇切	98	konsetu	kindness
12977	桜桃	98	ootoo	cherry
12978	自壊	98	zikai	disintegration
12979	蹴球	98	syuukyuu	football
12980	色々	98	iroiro	various
12981	尊大	98	sondai	haughtiness
12982	単線	98	tansen	"single line"
12983	男気	98	otokoke	"male presence"
12984	中編	98	tyuuhen	"second part"
12985	定規	98	zyoogi	ruler
12986	庭師	98	niwasi	gardener
12987	天寿	98	tenzyu	"natural span of life"
12988	麻疹	98	masin	measles
12989	盲腸	98	mootyoo	appendix
12990	妖艶	98	yooen	fascinating
12991	猟師	98	ryoosi	hunter
12992	冷害	98	reigai	"cold-weather damage"
12993	湾曲	98	wankyoku	curve
12994	烙印	98	rakuin	mark
12995	餌食	97	eziki	prey
12996	華美	97	kabi	pomp
12997	漢語	97	kango	"Chinese word"
12998	企図	97	kito	plan
12999	軍勢	97	gunzei	"military forces"
13000	鼓膜	97	komaku	eardrum
13001	抗弁	97	kooben	protest
13002	国津	97	kunitu	"of the land"
13003	穀倉	97	kokusoo	granary
13004	策動	97	sakudoo	maneuverings
13005	刺傷	97	sisyoo	stab
13006	侍医	97	zii	"court physician"
13007	宿願	97	syukugan	"longstanding desire"
13008	菖蒲	97	syoobu	"sweet flag"
13009	政略	97	seiryaku	politics
13010	整髪	97	seihatu	hairdressing
13011	赤木	97	akagi	"bishop wood"
13012	絶筆	97	zeppitu	"one's last writing"
13013	創世	97	soosei	"creation of world"
13014	増勢	97	zoosei	"increasing trend"
13015	地唄	97	ziuta	"folk song"
13016	田楽	97	dengaku	"ritual music and dancing in shrines and temples"
13017	梅林	97	bairin	grove
13018	番犬	97	banken	watchdog
13019	非道	97	hidoo	unjust
13020	品評	97	hinpyoo	estimation
13021	武闘	97	butoo	"armed struggle"
13022	兵法	97	hyoohoo	"art of war"
13023	滅菌	97	mekkin	sterilization
13024	余談	97	yodan	digression
13025	霊的	97	reiteki	spiritual
13026	瞽女	97	goze	"blind female beggar who sings or plays shamisen"
13027	画商	96	gasyoo	"picture dealer"
13028	開院	96	kaiin	"opening congress"
13029	開明	96	kaimei	civilization
13030	帰休	96	kikyuu	leave
13031	供花	96	kyooka	"offering of flowers"
13032	市有	96	siyuu	"owned by the city"
13033	辞世	96	zisei	"passing away"
13034	手練	96	syuren	skill
13035	春菊	96	syungiku	"edible chrysanthemum"
13036	純朴	96	zyunboku	"rustic simplicity"
13037	小鉢	96	kobati	"small bowl"
13038	正大	96	seidai	fairness
13039	清貧	96	seihin	"honourable poverty"
13040	生者	96	syoozya	"animate nature"
13041	戦隊	96	sentai	squadron
13042	送風	96	soohuu	ventilation
13043	多才	96	tasai	talented
13044	端午	96	tango	
13045	談義	96	dangi	discussion
13046	長命	96	tyoomei	"long life"
13047	天頂	96	tentyoo	zenith
13048	当夜	96	tooya	"that night"
13049	同門	96	doomon	"fellow student"
13050	如月	96	kisaragi	"second month of the lunar calendar"
13051	発破	96	happa	"explosive blast"
13052	眉間	96	miken	brow
13053	不純	96	huzyun	impurity
13054	服喪	96	hukumo	"going into mourning"
13055	勇士	96	yuusi	"brave warrior"
13056	遊牧	96	yuuboku	nomadism
13057	夕陽	96	yuuhi	"evening sun"
13058	流刑	96	rukei	exile
13059	領分	96	ryoobun	territory
13060	涙腺	96	ruisen	"tear gland"
13061	令嬢	96	reizyoo	daughter
13062	一樹	95	itizyu	"one tree"
13063	園地	95	enti	park
13064	雅号	95	gagoo	alias
13065	額縁	95	gakubuti	frame
13066	完璧	95	kanpeki	perfect
13067	旗色	95	hatairo	situation
13068	求婚	95	kyuukon	"marriage proposal"
13069	漁網	95	gyomoo	"fishing net"
13070	峡谷	95	kyookoku	glen
13071	警句	95	keiku	aphorism
13072	欠番	95	ketuban	"missing number"
13073	原種	95	gensyu	"pure breed"
13074	言外	95	gengai	unexpressed
13075	侯爵	95	koosyaku	marquis
13076	差配	95	sahai	agency
13077	山寺	95	yamadera	"mountain temple"
13078	試射	95	sisya	"test firing"
13079	歯茎	95	haguki	gums
13080	自活	95	zikatu	self-support
13081	手指	95	syusi	finger
13082	重版	95	zyuuhan	"second edition"
13083	初手	95	syote	beginning
13084	諸般	95	syohan	various
13085	丈夫	95	zyouhu	hero
13086	信管	95	sinkan	fuse
13087	成仏	95	zyoobutu	"entering Nirvana"
13088	赤痢	95	sekiri	dysentery
13089	雪渓	95	sekkei	"snowy valley"
13090	俗説	95	zokusetu	"common saying"
13091	転進	95	tensin	"changing course or direction"
13092	塗布	95	tohu	application
13093	冬期	95	tooki	winter
13094	動的	95	dooteki	dynamic
13095	肉屋	95	nikuya	butcher
13096	白梅	95	hakubai	"white plum blossoms"
13097	薄板	95	usuita	laminate
13098	暴騰	95	bootoo	"sudden rise"
13099	防毒	95	boodoku	gasproofing
13100	門限	95	mongen	"closing time"
13101	理路	95	riro	logic
13102	廉価	95	renka	"low price"
13103	朗々	95	rooroo	clear
13104	論証	95	ronsyoo	proof
13105	歪曲	95	waikyoku	distortion
13106	安産	94	anzan	"easy delivery"
13107	異郷	94	ikyoo	"foreign country"
13108	引力	94	inryoku	attraction
13109	歌枕	94	utamakura	"oft-repeated descriptive epithets in poetry"
13110	火柱	94	hibasira	"pillar of fire"
13111	外患	94	gaikan	"external pressure"
13112	学究	94	gakkyuu	scholar
13113	機知	94	kiti	wit
13114	儀典	94	giten	ceremony
13115	喫緊	94	kikkin	urgency
13116	脚立	94	kyatatu	stepladder
13117	局部	94	kyokubu	part
13118	金策	94	kinsaku	"raising money"
13119	軍務	94	gunmu	"military and naval affairs"
13120	根治	94	konzi	cure
13121	災厄	94	saiyaku	calamity
13122	謝辞	94	syazi	thanks
13123	習作	94	syuusaku	study
13124	所々	94	syosyo	"here and there"
13125	商議	94	syoogi	conference
13126	新約	94	sinyaku	"new contract"
13127	人知	94	zinti	"human intellect"
13128	西日	94	nisibi	"westering sun"
13129	石棺	94	sekkan	sarcophagus
13130	双発	94	soohatu	two-motored
13131	台形	94	daikei	trapezium
13132	鋳型	94	igata	mold
13133	聴診	94	tyoosin	auscultation
13134	直人	94	tadabito	"ordinary person"
13135	適温	94	tekion	"suitable or moderate temperature"
13136	天性	94	tensei	nature
13137	電文	94	denbun	telegram
13138	導師	94	doosi	"officiating monk"
13139	道幅	94	mitihaba	"width of a road"
13140	凸凹	94	dekoboko	unevenness
13141	突貫	94	tokkan	charge
13142	番台	94	bandai	"watch stand"
13143	美観	94	bikan	"fine view"
13144	瀕死	94	hinsi	dying
13145	分家	94	bunke	"branch family"
13146	分母	94	bunbo	denominator
13147	壁際	94	kabegiwa	"close to the wall"
13148	片時	94	katatoki	moment
13149	放談	94	hoodan	"free talk"
13150	暴論	94	booron	argument
13151	満潮	94	mantyoo	"high tide"
13152	来社	94	raisya	"visit to a company"
13153	欄外	94	rangai	margin
13154	里芋	94	satoimo	taro
13155	両性	94	ryoosei	"both sexes"
13156	裂傷	94	ressyoo	laceration
13157	涵養	94	kanyoo	cultivation
13158	悪行	93	akugyoo	misdeed
13159	安居	93	ankyo	"easy life"
13160	引換	93	hikikae	exchange
13161	下界	93	gekai	"this world"
13162	加療	93	karyoo	"medical treatment"
13163	歌舞	93	kabu	"singing and dancing"
13164	開帳	93	kaityoo	"unveiling a Buddhist image"
13165	寒村	93	kanson	"deserted village"
13166	岩礁	93	gansyoo	reef
13167	奇声	93	kisei	"strange voice"
13168	凝集	93	gyoosyuu	agglomeration
13169	現業	93	gengyoo	"on-site work"
13170	胡同	93	huuton	hutong
13171	思慕	93	sibo	yearning
13172	時分	93	zibun	time
13173	酒量	93	syuryoo	"amount of drink"
13174	殉死	93	zyunsi	"dying a martyr"
13175	神主	93	kannusi	"Shinto priest"
13176	正訓	93	seikun	"correct kun reading"
13177	赤目	93	akame	"red eyes"
13178	摂政	93	sessyoo	regent
13179	前世	93	zensei	antiquity
13180	全景	93	zenkei	"panoramic view"
13181	卓抜	93	takubatu	excellence
13182	暖炉	93	danro	fireplace
13183	提灯	93	tyootin	"paper lantern"
13184	点眼	93	tengan	"dropping medicine in the eyes"
13185	杜氏	93	toozi	"chief brewer at a sake brewery"
13186	憧憬	93	dookei	longing
13187	道行	93	mitiyuki	"going down the road"
13188	得度	93	tokudo	"becoming a monk"
13189	難破	93	nanpa	shipwreck
13190	敷石	93	sikiisi	"paving stone"
13191	本題	93	hondai	"main question"
13192	憂鬱	93	yuuutu	depression
13193	余人	93	yonin	others
13194	力感	93	rikikan	power
13195	林間	93	rinkan	"in the forest"
13196	愛馬	92	aiba	"favourite horse"
13197	意趣	92	isyu	grudge
13198	一滴	92	itteki	drop
13199	因習	92	insyuu	convention
13200	謁見	92	ekken	audience
13201	塩害	92	engai	"salt-air damage"
13202	下座	92	geza	squatting
13203	家中	92	katyuu	"whole family"
13204	楽隊	92	gakutai	band
13205	甘口	92	amakuti	"sweet flavour"
13206	簡明	92	kanmei	terse
13207	贋作	92	gansaku	fake
13208	休載	92	kyuusai	"nonappearance in print"
13209	魚肉	92	gyoniku	"fish meat"
13210	玉子	92	tamago	"hen egg"
13211	隙間	92	sukima	crevice
13212	公僕	92	kooboku	"public servant"
13213	厚紙	92	atugami	cardboard
13214	行状	92	gyoozyoo	behavior
13215	細目	92	hosome	thinnish
13216	在家	92	zaike	laity
